text,watermark
Arepa e'huevo explotada,COLOMBIA
Lechona con sabor a Red Bull,COLOMBIA
Bandeja paisa light,COLOMBIA
Changua afrodisíaca,COLOMBIA
Aguardiente con leche,COLOMBIA
Hormigas culonas fritas,COLOMBIA
Sancocho de 78 carnes,COLOMBIA
Ajiaco instantáneo,COLOMBIA
Mazamorra chiquita con aguacate,COLOMBIA
Chontaduro en polvo,COLOMBIA
Bocadillo veleño tamaño familiar,COLOMBIA
Mamona llanera vegana,COLOMBIA
Patacón con caviar,COLOMBIA
Mote de queso molecular,COLOMBIA
Buñuelos rellenos de Nutella,COLOMBIA
Empanadas de pipí de pollo,COLOMBIA
Tamal en lata,COLOMBIA
Cocada con sabor a whisky,COLOMBIA
Pandebono cuadrado,COLOMBIA
Chicharrón con mermelada,COLOMBIA
Almojábana gigante,COLOMBIA
Oblea con salsa de ajo,COLOMBIA
Cholao sin hielo,COLOMBIA
Arroz con coco y Coca-Cola,COLOMBIA
Pan de bono con chispas de chocolate,COLOMBIA
Lechona express,COLOMBIA
Arepas de chócolo con queso curado,COLOMBIA
Morcilla dulce,COLOMBIA
Fríjoles con peperoni,COLOMBIA
Sudado de bagre con piña,COLOMBIA
Salpicón de solomillo,COLOMBIA
Natilla con sabor a yuca,COLOMBIA
Insulso picante,COLOMBIA
Mantecada de aguacate,COLOMBIA
Papas chorreadas con leche condensada,COLOMBIA
Bollo limpio sucio,COLOMBIA
Cucas gigantes,COLOMBIA
Manjar blanco negro,COLOMBIA
Longaniza vegetariana,COLOMBIA
Sancocho de media noche,COLOMBIA
Tungos cuadrados,COLOMBIA
Casabe con Nutella,COLOMBIA
Arroz atollado sin arroz,COLOMBIA
Achiras con salsa de soya,COLOMBIA
Aborrajados de piña,COLOMBIA
Brevas con arequipe y jamón serrano,COLOMBIA
Envueltos de plátano maduro,COLOMBIA
Postre de natas light,COLOMBIA
Carimañola rellena de caviar,COLOMBIA
Suero costeño en aerosol,COLOMBIA
Arroz con pollo sin pollo,COLOMBIA
Arepas de queso sin queso,COLOMBIA
Caldo de costilla vegetariano,COLOMBIA
Chorizos de soya,COLOMBIA
Coctel de camarones de río,COLOMBIA
Huevos pericos con sabor a menta,COLOMBIA
Frijoles antioqueños instantáneos,COLOMBIA
Patacones con mermelada de mora,COLOMBIA
Mondongo dietético,COLOMBIA
Ají de maní picante,COLOMBIA
