text,watermark
Un vallenato interpretado por un mariachi,COLOMBIA
La faja de Amparo Grisales,COLOMBIA
El bigote de Pirry,COLOMBIA
Una arepa e' huevo autografiada por Silvestre Dangond,COLOMBIA
El traje de lentejuelas de Carlos Vives,COLOMBIA
Un chorus infinito de 'A Dios le pido',COLOMBIA
La dieta milagrosa de Sofía Vergara,COLOMBIA
Un dueto entre Maluma y Gabriel García Márquez,COLOMBIA
El güiro mágico de Carlos Vives,COLOMBIA
Una empanada con sabor a champeta,COLOMBIA
La peluca de Celia Cruz,COLOMBIA
Un concierto de reggaetón en La Casa de Nariño,COLOMBIA
La bicicleta oxidada de Nairo Quintana,COLOMBIA
Una Chiva pintada por Fernando Botero,COLOMBIA
El acordeón desafinado de Shakira,COLOMBIA
Un meme de Álvaro Uribe bailando champeta,COLOMBIA
La receta secreta del ajiaco de Falcao,COLOMBIA
Un buñuelo con forma de balón de fútbol,COLOMBIA
El café más fuerte de Juan Valdez,COLOMBIA
La estatua de la libertad vestida de Carmen Miranda,COLOMBIA
Un vallenato sobre el realismo mágico,COLOMBIA
La máquina del tiempo de Rodolfo Llinás,COLOMBIA
Un batido de chontaduro preparado por J Balvin,COLOMBIA
La bandeja paisa light de Paulina Vega,COLOMBIA
El sombrero vueltiao de la Señorita Colombia,COLOMBIA
Una novela de 100 años escrita en tweets,COLOMBIA
El micrófono de oro de Garzón y Collazos,COLOMBIA
Un partido de tejo entre Simón Bolívar y Nairo Quintana,COLOMBIA
La camiseta sudada de James Rodríguez,COLOMBIA
Un concierto de punk rock en el Parque del Café,COLOMBIA
La tutela más larga de la historia,COLOMBIA
Un compilado de chistes malos de Suso,COLOMBIA
La máquina de hacer arepas de Karol G,COLOMBIA
Un tetero lleno de aguardiente,COLOMBIA
La peluca de Celia Cruz en el museo del oro,COLOMBIA
Un reality show sobre la vida de Jorge Eliécer Gaitán,COLOMBIA
El guayabo eterno de Diomedes Díaz,COLOMBIA
Una corrida de toros con toreros vegetarianos,COLOMBIA
El saxofón de Juanes tocando salsa choke,COLOMBIA
La estatua de Bolívar haciendo el Waka Waka,COLOMBIA
Un curso de baile dictado por Totó la Momposina,COLOMBIA
La novelización de 'La Pelota de Letras',COLOMBIA
Un sancocho preparado por Gordon Ramsay,COLOMBIA
La versión vallenata de 'Despacito',COLOMBIA
Un desfile de modas con ruanas y alpargatas,COLOMBIA
La máquina de coser de Esteban Cortázar,COLOMBIA
Un álbum de reggaeton cantado por el elenco de Betty la Fea,COLOMBIA
La guitarra eléctrica de Carlos Vives tocando metal,COLOMBIA
Un tour en chiva por las calles de Nueva York,COLOMBIA
La versión salsa de 'Cien años de soledad',COLOMBIA
Un partido de fútbol narrado por Gabriel García Márquez,COLOMBIA
La cafetera personal de Juan Manuel Santos,COLOMBIA
Un dueto entre Juanes y Shakespeare,COLOMBIA
La receta del ajiaco espacial de Rodolfo Llinás,COLOMBIA
Un sombrero vueltiao hecho de oro puro,COLOMBIA
Una telenovela sobre la vida de Nairo Quintana,COLOMBIA
El traje de baño de Miss Universo hecho de café,COLOMBIA
Una cumbia interpretada por la Filarmónica de Viena,COLOMBIA
El álbum de villancicos de Silvestre Dangond,COLOMBIA
