text,watermark
Un carriel lleno de arepas,COLOMBIA
Bailar guasca como un verraco,COLOMBIA
Una piñata de Pablo Escobar,COLOMBIA
Gritar "¡Eh... Ave María!" cada 5 minutos,COLOMBIA
Tomarse 10 tintos al día,COLOMBIA
Una estatua de Botero que cobró vida,COLOMBIA
Convertir todo en diminutivo,COLOMBIA
Un cuadro de la Virgen del Carmen en la chiva,COLOMBIA
Meterle aguardiente al guarapo,COLOMBIA
La leche condensada de Colanta,COLOMBIA
Un poncho hecho de flores,COLOMBIA
Jugar tejo con granadas,COLOMBIA
La Piedra del Peñol en miniatura,COLOMBIA
Un brassier de silicona antioqueña,COLOMBIA
Orinar en forma de M por Medellín,COLOMBIA
Comer mondongo a las 3 AM,COLOMBIA
Una maleta llena de "regalitos",COLOMBIA
Cambiar el himno de Antioquia por un vallenato,COLOMBIA
Un Porsche con placas de Envigado,COLOMBIA
Bañarse en chocolate Jet derretido,COLOMBIA
Ponerle una falda a la estatua de Bolívar,COLOMBIA
Una docena de buñuelos gigantes,COLOMBIA
Un álbum de J Balvin autografiado con sangre,COLOMBIA
Una bandeja paisa para levantar pesas,COLOMBIA
Tomarse una selfie con 100 silletas,COLOMBIA
Un rosario hecho de granos de café,COLOMBIA
Una finca cafetera en el Parque Berrío,COLOMBIA
Pedirle la bendición a una guacamaya,COLOMBIA
Construir un metro con chivas,COLOMBIA
Usar medias veladas como corbata,COLOMBIA
Lavar la ropa en aguardiente,COLOMBIA
Un GPS que solo dice "ome gonorrea",COLOMBIA
Hacer ejercicio montando en burro,COLOMBIA
Una orquesta de tango interpretando reggaeton,COLOMBIA
Cambiar el agua de la ducha por guarapo,COLOMBIA
Un reloj de arena hecho con café molido,COLOMBIA
Pagar el pasaje del metro con arepas,COLOMBIA
Un diccionario paisa-inglés,COLOMBIA
Hacer rafting en una avalancha de fríjoles,COLOMBIA
Una máquina del tiempo hecha de guadua,COLOMBIA
Jugar fútbol con una pelota de chicharrón,COLOMBIA
Pintar La Alpujarra de colores neón,COLOMBIA
Un mariachi cantando trovas paisas,COLOMBIA
Usar pantalones hechos de hojas de plátano,COLOMBIA
Una piñata llena de arepas y fríjoles,COLOMBIA
Escalar el edificio Coltejer con tacones,COLOMBIA
Un karaoke solo con canciones de Juanes,COLOMBIA
Bautizar a los niños con Aguardiente Antioqueño,COLOMBIA
Una fuente de agua que dispara mazamorra,COLOMBIA
Tejer una ruana con cabello de Pibe Valderrama,COLOMBIA
Un Metrocable propulsado por flatulencias paisas,COLOMBIA
Cambiar los semáforos por materas de orquídeas,COLOMBIA
Hacer yoga en una hamaca colgada del Cerro Nutibara,COLOMBIA
Un desfile de moda con modelos en guayos,COLOMBIA
Pintar bigotes a todas las estatuas de Medellín,COLOMBIA
Una fábrica de arepas impulsada por el viento,COLOMBIA
Usar una arepa como sombrero,COLOMBIA
Besar el suelo cada vez que alguien dice "Medallo",COLOMBIA
