text,pick,watermark
"En Medellín, no es un verdadero paisa si no tiene ____.",1,COLOMBIA
"La feria de las flores este año sorprendió a todos con un desfile de ____.",1,COLOMBIA
"El secreto de la abuela para hacer las mejores empanadas paisas es agregar ____.",1,COLOMBIA
"En el Parque Lleras, los turistas quedaron impactados al ver ____.",1,COLOMBIA
"El alcalde de Medellín propuso reemplazar el metrocable por ____.",1,COLOMBIA
"En la próxima temporada de 'Paisas en el Exterior', el protagonista se gana la vida con ____.",1,COLOMBIA
"El extranjero quedó confundido cuando el paisa le dijo: '¿Entonces qué, ____ o qué?'",1,COLOMBIA
"La nueva atracción del Parque Explora: '____: La Experiencia Paisa'.",1,COLOMBIA
"En el pueblito paisa, los visitantes pueden aprender el arte de ____.",1,COLOMBIA
"El paisa más valiente del barrio se atrevió a ____ en plena Alpujarra.",1,COLOMBIA
"La legendaria Hacienda Nápoles ahora es famosa por sus exhibiciones de ____.",1,COLOMBIA
"En la Universidad de Antioquia, los estudiantes protestaron contra ____ usando ____.",2,COLOMBIA
"El próximo hit del reggaetón paisa se titula '____ en la finca'.",1,COLOMBIA
"Para conquistar a una paisa, lo mejor es regalarle ____ y llevarla a ____.",2,COLOMBIA
"En el Jardín Botánico de Medellín, científicos descubrieron una nueva especie de ____ que solo crece con ____.",2,COLOMBIA
"El verdadero paisa no necesita GPS, se orienta usando ____ y ____.",2,COLOMBIA
"En la Placita de Flórez, además de flores, ahora venden ____.",1,COLOMBIA
"El secreto mejor guardado de Pablo Escobar era su colección de ____.",1,COLOMBIA
"La nueva moda en El Poblado es vestirse de ____ mientras se come ____.",2,COLOMBIA
"En el Museo de Antioquia, la exposición más controversial fue '____: El Alma Paisa'.",1,COLOMBIA
