text,pick,watermark
"El reggaetonero del futuro no usará cadenas de oro, usará ____.",1,REGGAETON
"En el nuevo video de Bad Bunny, el conejo malo se transforma en ____.",1,REGGAETON
"El secreto para hacer un hit de reggaeton es combinar ____ con ____.",2,REGGAETON
"Descubrieron que Daddy Yankee en realidad es ____ disfrazado.",1,REGGAETON
"La colaboración más inesperada del año: Diomedes Díaz feat. ____.",1,REGGAETON
"El perreo intenso causa ____.",1,REGGAETON
"Si el vallenato y el reggaeton tuvieran un hijo, se llamaría ____.",1,REGGAETON
"En Colombia, ahora se baila reggaeton con ____.",1,REGGAETON
"La nueva sensación del reggaeton es un dúo formado por ____ y ____.",2,REGGAETON
"El próximo Grammy Latino será para la canción '____' de J Balvin.",1,REGGAETON
"Maluma sorprendió a sus fans apareciendo en el escenario vestido de ____.",1,REGGAETON
"El nuevo challenge de TikTok consiste en perrear mientras ____.",1,REGGAETON
"En vez de 'Despacito', Luis Fonsi debió haber cantado sobre ____.",1,REGGAETON
"La fórmula secreta de Don Omar para hacer éxitos: ____ + ____ + ____.",3,REGGAETON
"Karol G reveló que su inspiración para 'Tusa' fue ____.",1,REGGAETON
"Si el reggaeton fuera un plato típico colombiano, sería ____ con ____.",2,REGGAETON
"Nicky Jam anunció su retiro del reggaeton para dedicarse a ____.",1,REGGAETON
"El nuevo género que fusiona reggaeton con vallenato se llama ____.",1,REGGAETON
"Shakira vuelve a sus raíces con un reggaeton sobre ____.",1,REGGAETON
"La próxima colaboración de Peso Pluma en el reggaeton será con ____.",1,REGGAETON
